area_name,lat,lng,zone_type,avg_rate_per_m2,min_rate,max_rate,tier,listing_count
Electronic City,12.8399,77.677,industrial,48378,35511,56666,mid,213
Doddakammanahalli,13.01,77.66,residential,47365,45656,51046,mid,5
Gottigere,12.875,77.595,residential,46934,38916,50916,mid,32
Varthur,12.9392,77.7482,residential,46838,40514,61795,mid,48
KR Puram,13.0007,77.6929,residential,46800,42253,63401,mid,63
Kengeri,12.9063,77.4822,residential,45734,39380,52620,mid,50
Kaggadasapura,13,77.675,residential,45707,42154,51069,mid,44
Horamavu Agara,13.031,77.653,residential,45605,40332,52038,mid,28
Kengeri Satellite Town,12.9063,77.4822,residential,45262,38128,53193,mid,28
Varthur Road,12.9392,77.7482,residential,45252,32923,49865,mid,9
Gunjur,12.91,77.75,residential,45156,40758,49497,mid,14
Horamavu Banaswadi,13.031,77.653,residential,43884,42834,49970,mid,18
Uttarahalli,12.89,77.545,residential,43686,41839,46827,mid,130
Kothannur,13.065,77.595,residential,43048,38416,48195,mid,18
Sarjapur,12.907,77.686,residential,40902,37449,53543,mid,57
Begur Road,12.865,77.615,residential,39828,38750,41980,affordable,58
Gunjur Palya,12.91,77.75,residential,39340,33344,45527,affordable,6
Hoskote,13.0712,77.7988,residential,39065,33678,48623,affordable,14
Channasandra,13.01,77.71,residential,38719,36054,45527,affordable,26
Banashankari Stage V,12.9255,77.5468,residential,38655,33910,45229,affordable,8
Channasandra Layout,13.01,77.71,residential,38568,35766,50074,affordable,5
Anjanapura,12.875,77.56,residential,38567,37029,50256,affordable,10
2nd Phase Judicial Layout,12.92,77.575,residential,37674,37674,46124,affordable,9
Sarjapura - Attibele Road,12.778,77.764,residential,36538,34401,38848,affordable,11
Anekal,12.713,77.696,residential,35753,32292,41214,affordable,26
Dommasandra,12.89,77.74,residential,32823,30910,41549,affordable,9
Electronic City Phase II,12.8299,77.677,industrial,32292,31086,49014,affordable,93
Attibele,12.778,77.764,residential,31975,29606,41021,affordable,28
Chandapura,12.83,77.685,residential,29063,27452,33581,affordable,72
